Track,Car,Time of Day,Time Lapse,Cloud Cover,Precipitation,Finish Time,Sector 1,Sector 2,Sector 3,Date of Race,Time of Race
The Kyle,Volkswagen Golf GTI,14:00,1,Clear,Dry,02:21.7,00:52.6,00:46.6,00:42.5,2014-12-26,17:22
The Kyle,Mini John Cooper Works GP,14:00,1,Clear,Dry,02:25.4,00:53.4,00:48.7,00:43.6,2014-12-26,17:28
The Kyle,Volkswagen Beetle GSR,14:00,1,Clear,Dry,02:26.5,00:53.8,00:48.6,00:44.1,2014-12-26,17:01
The Kyle,Renault Clio RS,14:00,1,Clear,Dry,02:27.2,00:53.0,00:50.5,00:43.8,2014-12-26,16:54
The Kyle,Audi A1 Quattro,14:00,1,Clear,Dry,02:27.9,00:55.6,00:48.7,00:43.6,2014-12-26,16:50
The Kyle,Mini John Cooper Works GP,14:00,1,Clear,Dry,02:28.1,00:54.0,00:50.8,00:43.3,2014-12-26,16:24
The Kyle,Volkswagen Golf GTI,14:00,1,Clear,Dry,02:28.7,00:54.2,00:48.4,00:46.1,2014-12-26,15:15
The Kyle,Volkswagen Golf GTI,14:00,1,Clear,Dry,02:29.3,00:54.2,00:47.6,00:47.5,2014-12-26,15:23
The Kyle,Volkswagen Beetle GSR,14:00,1,Clear,Dry,02:29.3,00:54.9,00:50.5,00:43.9,2014-12-26,16:29
The Kyle,Volkswagen Beetle GSR,14:00,1,Clear,Dry,02:30.4,00:54.1,00:49.5,00:46.8,2014-12-26,16:58
The Kyle,Volkswagen Golf GTI,14:00,1,Clear,Dry,02:30.9,00:55.6,00:52.0,00:44.3,2014-12-26,15:19
The Kyle,Audi A1 Quattro,14:00,1,Clear,Dry,02:36.8,00:56.1,00:52.1,00:48.7,2014-12-26,16:47
The Kyle (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,02:08.497,00:44.742,00:44.379,00:39.376,2015-05-10,16:53
Trotternish (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,02:40.405,00:54.157,00:56.365,00:49.883,2015-05-11,23:11
Trotternish (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,02:42.978,00:56.042,00:57.339,00:49.597,2015-05-11,23:03
Trotternish (Reverse),Ferrari California,14:00,1,Clear,Dry,02:49.322,00:59.250,00:58.118,00:51.954,2015-05-11,23:26
Trotternish (Reverse),Ferrari 430 Scuderia,14:00,1,Clear,Dry,02:55.901,00:56.271,01:01.724,00:57.906,2015-05-11,22:58
Yedapalli,Bentley Continental GT Speed,19:00,1,Cloudy,Dry,01:25.954,00:24.454,00:26.657,00:34.843,2015-03-02,22:24
